network_name,batch_size,smote_augmentation,mutation_probability,adam_learning_rate,init_time,fid,tvd,execution_time,best FID client,n_iterations,grid_size,label_rate
four_layer_perceptron,50,100,0.5,0.0001,07-07-20 1:08,1.666148143,0.021565417,15.68333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,100,0.3,0.0005,07-07-20 3:30,1.66439943,0.025497213,14.1,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,50,0.5,0.00025,07-07-20 2:36,1.663831439,0.021257978,8.7,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,100,0.5,0.0001,07-07-20 4:41,1.660047068,0.02582169,14.2,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,50,0.3,0.00025,07-07-20 8:22,1.658697915,0.023668033,13.15,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,100,0.5,0.00025,07-07-20 0:54,1.656978035,0.028244551,16.1,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,50,0.3,0.00025,07-07-20 13:40,1.656373229,0.017917493,11.25,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.4,0.0001,07-07-20 11:46,1.653575658,0.02427456,22.38333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,50,0.5,0.00025,07-07-20 9:41,1.651225175,0.021901145,13.2,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,50,0.3,0.00025,07-07-20 8:18,1.648102332,0.023273867,12.83333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.3,0.0001,07-07-20 18:27,1.646295458,0.019453053,10.55,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,100,0.3,0.0001,07-07-20 3:16,1.645741771,0.013834926,13.95,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,50,0.5,0.00025,07-07-20 6:00,1.645181312,0.0321365,8.45,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,50,0.5,0.0001,07-07-20 9:55,1.644882885,0.023604901,13.2,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.5,0.0001,07-07-20 19:51,1.642683744,0.037485683,10.81666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,50,0.5,0.00025,07-07-20 9:37,1.641879039,0.024818144,12.88333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,50,0.3,0.0005,07-07-20 2:00,1.64000991,0.022137062,8.566666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.5,0.0001,07-07-20 19:31,1.638941018,0.023900575,10.61666667,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,50,0.4,0.00025,07-07-20 2:06,1.631975059,0.024098937,8.7,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.3,0.0001,07-07-20 18:46,1.628949654,0.019700018,10.7,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,100,0.3,0.0001,07-07-20 3:14,1.627310469,0.029090518,13.93333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,50,0.3,0.0005,07-07-20 5:27,1.626469939,0.01985677,8.35,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,50,0.5,0.00025,07-07-20 14:50,1.626057713,0.018382272,12.28333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,50,0.3,0.0005,06-07-20 22:05,1.62471297,0.020720293,9.8,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.5,0.00025,07-07-20 19:40,1.624537131,0.027875162,10.6,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.4,0.0001,07-07-20 18:59,1.623544241,0.01638685,11.1,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,50,0.3,0.00025,06-07-20 21:46,1.62326802,0.017988415,9.85,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,50,0.5,0.0005,06-07-20 23:04,1.619207406,0.019554201,9.55,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,100,0.4,0.0001,07-07-20 3:59,1.615424371,0.037675616,14.03333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,100,0.3,0.00025,07-07-20 6:23,1.608902988,0.009602921,12.75,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,100,0.5,0.0001,07-07-20 1:10,1.608559414,0.019887625,15.81666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,50,0.4,0.0001,07-07-20 14:27,1.606064501,0.020298381,11.55,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,50,0.5,0.0001,07-07-20 2:42,1.603117095,0.02071962,8.95,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,50,0.5,0.0001,06-07-20 22:54,1.602889928,0.023623122,9.766666667,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,50,0.3,0.0005,07-07-20 5:24,1.601431843,0.021515906,8.366666667,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,100,0.4,0.0001,07-07-20 0:21,1.599721102,0.014743472,16.2,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,50,0.5,0.0005,07-07-20 6:14,1.593215121,0.018376326,8.15,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,100,0.4,0.0001,07-07-20 7:14,1.586103279,0.024208227,12.86666667,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,50,0.5,0.0001,06-07-20 22:55,1.585108736,0.014131385,9.783333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,50,0.3,0.0001,07-07-20 1:49,1.583433922,0.021221296,8.966666667,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,50,0.4,0.0005,07-07-20 5:49,1.582500199,0.030558792,8.25,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,100,0.4,0.0001,07-07-20 7:17,1.581645307,0.018470712,13.05,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.4,0.00025,07-07-20 19:08,1.577358539,0.026503516,10.56666667,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,50,0.4,0.00025,07-07-20 5:35,1.573095358,0.026445215,8.15,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,50,0.5,0.0005,07-07-20 6:17,1.565471883,0.024318451,8.25,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,100,0.5,0.0001,07-07-20 7:53,1.563914909,0.019076855,12.8,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,50,0.4,0.0001,07-07-20 2:18,1.563559308,0.025714688,8.9,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,50,0.4,0.0001,06-07-20 22:25,1.557336086,0.015292103,9.766666667,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,100,0.3,0.0001,07-07-20 6:35,1.554433033,0.028141117,12.98333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,50,0.4,0.0001,06-07-20 22:26,1.552307051,0.021193823,9.733333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,50,0.4,0.0001,07-07-20 2:15,1.549043127,0.020432726,9,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,100,0.5,0.0001,07-07-20 7:56,1.548397598,0.015791225,12.8,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,50,0.3,0.0001,07-07-20 5:18,1.54836671,0.017314055,8.566666667,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,50,0.5,0.0001,07-07-20 6:06,1.541474718,0.027317905,8.3,127.0.0.1:5000,1000,1,1
four_layer_perceptron,50,50,0.3,0.0001,06-07-20 21:56,1.538293272,0.012886662,9.883333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,100,0.5,0.0001,07-07-20 4:39,1.535340942,0.01728878,14.13333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.4,0.0005,07-07-20 17:00,1.52546837,0.02824544,18.61666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.5,0.00025,07-07-20 19:21,1.522221189,0.020166785,10.55,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,50,0.5,0.0001,07-07-20 15:14,1.521391266,0.01888611,11.76666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.3,0.00025,07-07-20 18:36,1.519369024,0.012631198,10.65,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,50,0.3,0.0001,07-07-20 1:51,1.510534419,0.015959006,9,127.0.0.1:5000,1000,1,1
four_layer_perceptron,75,50,0.5,0.0001,07-07-20 2:44,1.504824036,0.01475949,9,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,100,0.3,0.0001,07-07-20 6:39,1.497643779,0.02870817,12.95,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.3,0.0005,07-07-20 16:17,1.496379211,0.01487013,19.65,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.3,0.0005,07-07-20 11:01,1.4955487,0.031922712,22.21666667,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,50,0.5,0.0001,07-07-20 6:09,1.491373765,0.013488912,8.25,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,50,0.3,0.0001,07-07-20 5:15,1.484843221,0.014447413,8.366666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.4,0.00025,07-07-20 18:48,1.480949749,0.017034928,10.43333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,50,0.4,0.0001,07-07-20 5:41,1.476942834,0.01246641,8.25,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.4,0.0005,07-07-20 17:17,1.473341998,0.021279695,19.48333333,127.0.0.1:5000,1000,1,1
four_layer_perceptron,100,50,0.4,0.0001,07-07-20 5:43,1.470394421,0.018089475,8.366666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,100,0.3,0.0005,07-07-20 20:28,1.441592282,0.012241563,17.3,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.5,0.0005,07-07-20 19:42,1.437770453,0.014201312,10.65,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,100,0.4,0.0005,07-07-20 21:43,1.3997172,0.026291694,17.41666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.3,0.0005,07-07-20 11:08,1.397858401,0.006693509,23.38333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,100,0.4,0.0005,07-07-20 21:20,1.397142174,0.014916494,17.56666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,100,0.5,0.0005,07-07-20 22:37,1.365796765,0.014354222,17.96666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,50,0.3,0.0005,07-07-20 8:48,1.360348883,0.022370939,13,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.3,0.0005,07-07-20 18:57,1.335437417,0.006402066,10.85,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,50,0.3,0.0001,07-07-20 14:03,1.256949413,0.007079684,11.63333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.3,0.0005,07-07-20 18:37,1.222736821,0.008650083,10.58333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,50,0.5,0.0005,07-07-20 10:08,1.132066439,0.004381117,12.73333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.5,0.0005,07-07-20 13:29,1.12060057,0.004327534,22.93333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,50,0.3,0.0005,07-07-20 8:44,1.103963835,0.006968539,13.1,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.3,0.0005,07-07-20 16:02,1.099834605,0.00586861,18.86666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.4,0.0005,07-07-20 12:09,1.05984787,0.001977204,22.73333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.5,0.0005,07-07-20 20:02,1.057939222,0.003766487,10.6,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.5,0.0005,07-07-20 13:18,1.028791165,0.003109689,22.43333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,100,0.5,0.0005,07-07-20 17:57,1.018615587,0.00047792,19.23333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,50,0.3,0.0005,07-07-20 14:15,1.015658068,0.000537226,11.6,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,50,0.5,0.0005,07-07-20 10:03,1.010265362,0.000590677,13.2,127.0.0.1:5000,1000,1,1
five_layer_perceptron,75,50,0.5,0.0005,07-07-20 15:26,1.002502589,0.001841567,11.9,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,100,0.4,0.0005,07-07-20 12:18,1.001417298,6.47E-05,23.18333333,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,50,0.4,0.0005,07-07-20 19:30,1.000785619,4.41E-05,10.5,127.0.0.1:5000,1000,1,1
five_layer_perceptron,50,50,0.4,0.0005,07-07-20 9:28,1,9.18E-11,13.31666667,127.0.0.1:5000,1000,1,1
five_layer_perceptron,100,100,0.3,0.0005,07-07-20 20:49,1,4.27E-16,17.93333333,127.0.0.1:5000,1000,1,1
